"Date","Price","Open","High","Low","Change %"
"Mar 05, 2018","6.3495","6.3285","6.3496","6.3281","0.06%"
"Mar 02, 2018","6.3454","6.3446","6.3627","6.3406","-0.20%"
"Mar 01, 2018","6.3582","6.3295","6.3602","6.3295","0.43%"
"Feb 28, 2018","6.3311","6.3345","6.3369","6.3247","0.22%"
"Feb 27, 2018","6.3170","6.3002","6.3172","6.2932","0.02%"
"Feb 26, 2018","6.3160","6.3266","6.3281","6.3078","-0.34%"
"Feb 23, 2018","6.3373","6.3498","6.3524","6.3354","-0.20%"
"Feb 22, 2018","6.3501","6.3479","6.3655","6.3457","0.03%"
"Feb 21, 2018","6.3482","6.3482","6.3482","6.3482","0.00%"
"Feb 20, 2018","6.3482","6.3482","6.3482","6.3482","0.00%"
"Feb 19, 2018","6.3482","6.3482","6.3482","6.3482","0.00%"
"Feb 16, 2018","6.3482","6.3482","6.3482","6.3482","0.00%"
"Feb 15, 2018","6.3482","6.3482","6.3482","6.3482","0.00%"
"Feb 14, 2018","6.3482","6.3393","6.3574","6.3339","0.11%"
"Feb 13, 2018","6.3410","6.3281","6.3505","6.3240","0.21%"
"Feb 12, 2018","6.3275","6.2939","6.3328","6.2875","0.49%"
"Feb 09, 2018","6.2969","6.3252","6.3318","6.2932","-0.48%"
"Feb 08, 2018","6.3270","6.2899","6.3449","6.2854","0.92%"
"Feb 07, 2018","6.2694","6.2645","6.2703","6.2565","-0.22%"
"Feb 06, 2018","6.2832","6.2977","6.3010","6.2688","-0.11%"
"Feb 05, 2018","6.2900","6.3064","6.3097","6.2867","-0.18%"
"Feb 02, 2018","6.3014","6.2823","6.3041","6.2707","0.03%"
"Feb 01, 2018","6.2995","6.2956","6.3097","6.2885","0.17%"
"Jan 31, 2018","6.2888","6.3302","6.3353","6.2882","-0.56%"
"Jan 30, 2018","6.3239","6.3370","6.3477","6.3197","-0.21%"
"Jan 29, 2018","6.3374","6.3296","6.3398","6.3266","0.27%"
"Jan 26, 2018","6.3201","6.3261","6.3343","6.3118","-0.06%"
"Jan 25, 2018","6.3238","6.3579","6.3600","6.3185","-0.73%"
"Jan 24, 2018","6.3700","6.3970","6.4013","6.3696","-0.54%"
"Jan 23, 2018","6.4047","6.3948","6.4139","6.3948","-0.01%"
"Jan 22, 2018","6.4052","6.4102","6.4157","6.3998","0.02%"
"Jan 19, 2018","6.4040","6.4056","6.4112","6.3926","-0.25%"
"Jan 18, 2018","6.4203","6.4374","6.4437","6.4177","-0.22%"
"Jan 17, 2018","6.4343","6.4273","6.4404","6.4199","-0.15%"
"Jan 16, 2018","6.4440","6.4391","6.4477","6.4266","0.11%"
"Jan 15, 2018","6.4371","6.4521","6.4560","6.4189","-0.37%"
"Jan 12, 2018","6.4610","6.4886","6.4905","6.4536","-0.54%"
"Jan 11, 2018","6.4958","6.5133","6.5179","6.4916","-0.19%"
"Jan 10, 2018","6.5081","6.5328","6.5373","6.5031","-0.33%"
"Jan 09, 2018","6.5297","6.5069","6.5329","6.5011","0.46%"
"Jan 08, 2018","6.4997","6.4768","6.5015","6.4768","0.17%"
"Jan 05, 2018","6.4887","6.4813","6.4911","6.4794","-0.07%"
"Jan 04, 2018","6.4934","6.5034","6.5111","6.4927","-0.15%"
"Jan 03, 2018","6.5030","6.4970","6.5126","6.4970","0.15%"
