"Date","Price","Open","High","Low","Change %"
"Jan 19, 2017","6.8712","6.8632","6.8800","6.8540","0.47%"
"Jan 18, 2017","6.8390","6.8531","6.8741","6.8319","-0.23%"
"Jan 17, 2017","6.8546","6.9016","6.9059","6.8546","-0.67%"
"Jan 16, 2017","6.9009","6.8982","6.9024","6.8932","0.01%"
"Jan 13, 2017","6.9005","6.9010","6.9051","6.8871","0.13%"
"Jan 12, 2017","6.8915","6.9205","6.9246","6.8889","-0.67%"
"Jan 11, 2017","6.9378","6.9267","6.9379","6.9233","0.24%"
"Jan 10, 2017","6.9215","6.9321","6.9343","6.9215","-0.23%"
"Jan 09, 2017","6.9375","6.9315","6.9381","6.9315","0.24%"
"Jan 06, 2017","6.9207","6.8772","6.9404","6.8762","0.45%"
"Jan 05, 2017","6.8900","6.9300","6.9324","6.8709","-0.65%"
"Jan 04, 2017","6.9351","6.9570","6.9594","6.9351","-0.37%"
"Jan 03, 2017","6.9610","6.9569","6.9638","6.9558","0.23%"
"Jan 02, 2017","6.9450","6.9450","6.9450","6.9450","0.00%"
"Dec 30, 2016","6.9450","6.9555","6.9555","6.9420","-0.15%"
"Dec 29, 2016","6.9553","6.9502","6.9576","6.9497","-0.06%"
"Dec 28, 2016","6.9593","6.9515","6.9620","6.9515","0.10%"
"Dec 27, 2016","6.9525","6.9514","6.9542","6.9464","0.05%"
"Dec 26, 2016","6.9489","6.9439","6.9506","6.9439","0.04%"
"Dec 23, 2016","6.9464","6.9482","6.9532","6.9442","-0.06%"
"Dec 22, 2016","6.9504","6.9452","6.9516","6.9452","0.12%"
"Dec 21, 2016","6.9421","6.9501","6.9549","6.9421","-0.12%"
"Dec 20, 2016","6.9505","6.9505","6.9595","6.9494","-0.05%"
"Dec 19, 2016","6.9539","6.9428","6.9546","6.9428","-0.09%"
"Dec 16, 2016","6.9603","6.9520","6.9624","6.9478","0.23%"
"Dec 15, 2016","6.9443","6.9058","6.9444","6.9058","0.57%"
"Dec 14, 2016","6.9051","6.9025","6.9101","6.9009","0.05%"
"Dec 13, 2016","6.9017","6.9078","6.9078","6.9008","-0.08%"
"Dec 12, 2016","6.9069","6.9104","6.9187","6.9069","-0.01%"
"Dec 09, 2016","6.9077","6.9020","6.9085","6.9009","0.40%"
"Dec 08, 2016","6.8799","6.8827","6.8833","6.8759","-0.01%"
"Dec 07, 2016","6.8805","6.8815","6.8938","6.8790","-0.02%"
"Dec 06, 2016","6.8820","6.8791","6.8821","6.8653","0.01%"
"Dec 05, 2016","6.8810","6.8863","6.8933","6.8800","-0.08%"
"Dec 02, 2016","6.8865","6.8826","6.8903","6.8822","0.00%"
"Dec 01, 2016","6.8865","6.8935","6.8992","6.8865","-0.00%"
"Nov 30, 2016","6.8868","6.8864","6.8898","6.8838","-0.14%"
"Nov 29, 2016","6.8968","6.8942","6.9021","6.8935","-0.17%"
"Nov 28, 2016","6.9088","6.9074","6.9090","6.9028","-0.16%"
"Nov 25, 2016","6.9198","6.9222","6.9232","6.9142","0.00%"
"Nov 24, 2016","6.9196","6.9230","6.9238","6.9170","-0.01%"
"Nov 23, 2016","6.9202","6.8887","6.9203","6.8887","0.44%"
"Nov 22, 2016","6.8900","6.8938","6.8938","6.8840","-0.04%"
"Nov 21, 2016","6.8928","6.8880","6.9000","6.8864","0.06%"
"Nov 18, 2016","6.8887","6.8764","6.8929","6.8764","0.15%"
"Nov 17, 2016","6.8783","6.8792","6.8792","6.8697","-0.03%"
"Nov 16, 2016","6.8804","6.8604","6.8804","6.8604","0.31%"
"Nov 15, 2016","6.8591","6.8445","6.8675","6.8445","0.18%"
"Nov 14, 2016","6.8468","6.8111","6.8472","6.8111","0.50%"
"Nov 11, 2016","6.8125","6.8170","6.8193","6.7989","0.16%"
"Nov 10, 2016","6.8019","6.7939","6.8022","6.7918","0.32%"
"Nov 09, 2016","6.7800","6.7851","6.7877","6.7581","-0.11%"
"Nov 08, 2016","6.7874","6.7774","6.7877","6.7774","0.16%"
"Nov 07, 2016","6.7766","6.7560","6.7783","6.7560","0.30%"
"Nov 04, 2016","6.7565","6.7642","6.7649","6.7564","-0.12%"
"Nov 03, 2016","6.7646","6.7578","6.7664","6.7578","0.11%"
"Nov 02, 2016","6.7570","6.7617","6.7678","6.7569","-0.14%"
"Nov 01, 2016","6.7665","6.7770","6.7803","6.7651","-0.14%"
"Oct 31, 2016","6.7758","6.7715","6.7758","6.7703","-0.05%"
"Oct 28, 2016","6.7790","6.7850","6.7899","6.7782","-0.09%"
"Oct 27, 2016","6.7851","6.7752","6.7851","6.7752","0.21%"
"Oct 26, 2016","6.7711","6.7726","6.7747","6.7671","-0.15%"
"Oct 25, 2016","6.7812","6.7760","6.7841","6.7760","0.09%"
"Oct 24, 2016","6.7752","6.7645","6.7764","6.7645","0.13%"
"Oct 21, 2016","6.7667","6.7452","6.7672","6.7452","0.32%"
"Oct 20, 2016","6.7454","6.7385","6.7454","6.7355","0.11%"
"Oct 19, 2016","6.7379","6.7367","6.7413","6.7359","-0.04%"
