"Date","Price","Open","High","Low","Change %"
"Jan 26, 2017","7.3517","7.4005","7.4142","7.3345","-0.63%"
"Jan 25, 2017","7.3985","7.3613","7.4108","7.3530","0.52%"
"Jan 24, 2017","7.3604","7.3779","7.3898","7.3514","-0.24%"
"Jan 23, 2017","7.3783","7.3478","7.3838","7.3388","0.25%"
"Jan 20, 2017","7.3598","7.3299","7.3667","7.3080","0.44%"
"Jan 19, 2017","7.3275","7.2695","7.3317","7.2640","0.79%"
"Jan 18, 2017","7.2702","7.3434","7.3459","7.2661","-1.00%"
"Jan 17, 2017","7.3437","7.3149","7.3483","7.3089","0.36%"
"Jan 16, 2017","7.3171","7.3274","7.3411","7.3006","-0.38%"
"Jan 13, 2017","7.3449","7.3148","7.3656","7.3086","0.43%"
"Jan 12, 2017","7.3136","7.3439","7.3717","7.3123","-0.38%"
"Jan 11, 2017","7.3418","7.3030","7.3697","7.2515","0.50%"
"Jan 10, 2017","7.3056","7.3368","7.3637","7.3036","-0.41%"
"Jan 09, 2017","7.3357","7.2931","7.3426","7.2813","0.63%"
"Jan 06, 2017","7.2896","7.3076","7.3525","7.2789","-0.26%"
"Jan 05, 2017","7.3083","7.2758","7.3166","7.2236","0.47%"
"Jan 04, 2017","7.2743","7.2424","7.2825","7.2279","0.43%"
"Jan 03, 2017","7.2435","7.2625","7.2999","7.1983","-0.28%"
"Jan 02, 2017","7.2641","7.3141","7.3163","7.2565","-0.54%"
"Dec 30, 2016","7.3034","7.2976","7.4104","7.2908","0.09%"
"Dec 29, 2016","7.2971","7.2454","7.2992","7.2398","0.69%"
"Dec 28, 2016","7.2468","7.2703","7.2927","7.2176","-0.32%"
"Dec 27, 2016","7.2702","7.2664","7.2758","7.2515","0.06%"
"Dec 26, 2016","7.2657","7.2594","7.2790","7.2531","0.03%"
"Dec 23, 2016","7.2635","7.2553","7.2756","7.2433","0.14%"
"Dec 22, 2016","7.2534","7.2351","7.2980","7.2336","0.23%"
"Dec 21, 2016","7.2368","7.2195","7.2575","7.2153","0.23%"
"Dec 20, 2016","7.2202","7.2371","7.2470","7.1979","-0.19%"
"Dec 19, 2016","7.2339","7.2683","7.2858","7.2256","-0.55%"
"Dec 16, 2016","7.2741","7.2352","7.2923","7.2268","0.59%"
"Dec 15, 2016","7.2317","7.2759","7.3011","7.1985","-0.60%"
"Dec 14, 2016","7.2755","7.3333","7.3680","7.2472","-0.80%"
"Dec 13, 2016","7.3345","7.3464","7.3627","7.3213","-0.14%"
"Dec 12, 2016","7.3451","7.2868","7.3569","7.2682","0.68%"
"Dec 09, 2016","7.2958","7.3057","7.3416","7.2744","-0.10%"
"Dec 08, 2016","7.3033","7.3972","7.4758","7.2896","-1.29%"
"Dec 07, 2016","7.3986","7.3770","7.4103","7.3701","0.31%"
"Dec 06, 2016","7.3761","7.4075","7.4215","7.3637","-0.41%"
"Dec 05, 2016","7.4067","7.3506","7.4300","7.2344","0.78%"
"Dec 02, 2016","7.3496","7.3427","7.3632","7.3190","0.10%"
"Dec 01, 2016","7.3424","7.2908","7.3472","7.2880","0.69%"
"Nov 30, 2016","7.2918","7.3440","7.3571","7.2677","-0.72%"
"Nov 29, 2016","7.3444","7.3325","7.3485","7.2902","0.15%"
"Nov 28, 2016","7.3333","7.3330","7.3769","7.2974","0.10%"
"Nov 25, 2016","7.3260","7.3016","7.3514","7.2905","0.31%"
"Nov 24, 2016","7.3030","7.3052","7.3258","7.2810","-0.02%"
"Nov 23, 2016","7.3042","7.3200","7.3365","7.2828","-0.24%"
"Nov 22, 2016","7.3220","7.3253","7.3419","7.2910","-0.06%"
"Nov 21, 2016","7.3267","7.2903","7.3422","7.2868","0.45%"
"Nov 18, 2016","7.2937","7.3061","7.3263","7.2786","-0.21%"
"Nov 17, 2016","7.3088","7.3556","7.3849","7.3026","-0.64%"
"Nov 16, 2016","7.3559","7.3536","7.3934","7.3373","0.03%"
"Nov 15, 2016","7.3540","7.3519","7.4114","7.3471","0.04%"
"Nov 14, 2016","7.3514","7.3900","7.3914","7.3323","-0.60%"
"Nov 11, 2016","7.3956","7.4123","7.4473","7.3800","-0.18%"
"Nov 10, 2016","7.4093","7.3978","7.4432","7.3909","0.17%"
"Nov 09, 2016","7.3967","7.4817","7.6363","7.3919","-1.16%"
"Nov 08, 2016","7.4838","7.4778","7.5085","7.4658","0.03%"
"Nov 07, 2016","7.4817","7.5192","7.5252","7.4558","-0.61%"
"Nov 04, 2016","7.5274","7.5063","7.5300","7.4806","0.20%"
"Nov 03, 2016","7.5124","7.4947","7.5258","7.4767","0.18%"
"Nov 02, 2016","7.4986","7.4751","7.5175","7.4673","0.24%"
"Nov 01, 2016","7.4807","7.4366","7.4916","7.4228","0.54%"
"Oct 31, 2016","7.4405","7.4428","7.4521","7.4052","-0.10%"
"Oct 28, 2016","7.4481","7.3889","7.4535","7.3847","0.73%"
"Oct 27, 2016","7.3938","7.3840","7.4243","7.3732","0.10%"
"Oct 26, 2016","7.3866","7.3792","7.4094","7.3656","0.04%"
"Oct 25, 2016","7.3834","7.3675","7.3956","7.3533","0.15%"
"Oct 24, 2016","7.3724","7.3608","7.3860","7.3450","0.10%"
"Oct 21, 2016","7.3649","7.3691","7.3758","7.3452","-0.11%"
"Oct 20, 2016","7.3727","7.3918","7.4389","7.3580","-0.29%"
"Oct 19, 2016","7.3942","7.4000","7.4167","7.3794","-0.10%"
"Oct 18, 2016","7.4019","7.4072","7.4321","7.3912","-0.12%"
"Oct 17, 2016","7.4109","7.3816","7.4200","7.3749","0.39%"
"Oct 14, 2016","7.3822","7.4349","7.4402","7.3776","-0.75%"
"Oct 13, 2016","7.4382","7.3925","7.4415","7.3889","0.56%"
"Oct 12, 2016","7.3967","7.4252","7.4413","7.3905","-0.45%"
"Oct 11, 2016","7.4305","7.4658","7.4794","7.4218","-0.54%"
"Oct 10, 2016","7.4708","7.4654","7.5068","7.4460","-0.03%"
"Oct 07, 2016","7.4729","7.4340","7.4769","7.4027","0.45%"
"Oct 06, 2016","7.4392","7.4707","7.4805","7.4267","-0.49%"
"Oct 05, 2016","7.4759","7.4701","7.4972","7.4601","0.01%"
"Oct 04, 2016","7.4755","7.4747","7.4989","7.4254","-0.05%"
"Oct 03, 2016","7.4795","7.4907","7.5022","7.4707","-0.27%"
"Sep 30, 2016","7.4996","7.4795","7.5080","7.4359","0.23%"
"Sep 29, 2016","7.4826","7.4838","7.5014","7.4615","-0.06%"
"Sep 28, 2016","7.4869","7.4774","7.5004","7.4572","0.08%"
"Sep 27, 2016","7.4806","7.5038","7.5110","7.4612","-0.33%"
"Sep 26, 2016","7.5052","7.4846","7.5219","7.4831","0.24%"
"Sep 23, 2016","7.4871","7.4666","7.4992","7.4612","0.24%"
"Sep 22, 2016","7.4695","7.4645","7.5088","7.4548","0.05%"
"Sep 21, 2016","7.4654","7.4384","7.4728","7.4187","0.31%"
"Sep 20, 2016","7.4420","7.4475","7.4823","7.4330","-0.13%"
"Sep 19, 2016","7.4517","7.4445","7.4677","7.4317","0.08%"
"Sep 16, 2016","7.4458","7.4985","7.5118","7.4345","-0.77%"
"Sep 15, 2016","7.5032","7.5019","7.5299","7.4825","-0.06%"
"Sep 14, 2016","7.5076","7.4896","7.5266","7.4768","0.18%"
"Sep 13, 2016","7.4942","7.5023","7.5225","7.4796","-0.14%"
"Sep 12, 2016","7.5045","7.4992","7.5279","7.4872","0.05%"
"Sep 09, 2016","7.5011","7.5023","7.5392","7.4798","-0.05%"
"Sep 08, 2016","7.5046","7.4838","7.5463","7.4798","0.19%"
"Sep 07, 2016","7.4900","7.5082","7.5204","7.4765","-0.32%"
"Sep 06, 2016","7.5137","7.4386","7.5210","7.4339","0.97%"
"Sep 05, 2016","7.4418","7.4464","7.4677","7.4357","-0.15%"
"Sep 02, 2016","7.4527","7.4692","7.5135","7.4453","-0.23%"
"Sep 01, 2016","7.4702","7.4495","7.4775","7.4317","0.23%"
"Aug 31, 2016","7.4534","7.4404","7.4594","7.4262","0.12%"
"Aug 30, 2016","7.4448","7.4701","7.4818","7.4311","-0.36%"
"Aug 29, 2016","7.4718","7.4633","7.4812","7.4506","0.01%"
"Aug 26, 2016","7.4711","7.5086","7.5682","7.4539","-0.57%"
"Aug 25, 2016","7.5137","7.4962","7.5257","7.4909","0.18%"
"Aug 24, 2016","7.5004","7.5027","7.5239","7.4818","-0.09%"
"Aug 23, 2016","7.5072","7.5236","7.5424","7.5001","-0.27%"
"Aug 22, 2016","7.5275","7.5175","7.5373","7.5056","-0.10%"
"Aug 19, 2016","7.5353","7.5247","7.5411","7.5148","0.08%"
"Aug 18, 2016","7.5290","7.4891","7.5377","7.4807","0.53%"
"Aug 17, 2016","7.4892","7.4692","7.5084","7.4546","0.22%"
"Aug 16, 2016","7.4727","7.4202","7.4919","7.4155","0.66%"
"Aug 15, 2016","7.4239","7.4024","7.4353","7.3965","0.25%"
"Aug 12, 2016","7.4057","7.3803","7.4459","7.3743","0.33%"
"Aug 11, 2016","7.3812","7.4127","7.4269","7.3770","-0.51%"
"Aug 10, 2016","7.4189","7.3948","7.4270","7.3848","0.24%"
"Aug 09, 2016","7.4008","7.3836","7.4040","7.3723","0.16%"
"Aug 08, 2016","7.3891","7.3749","7.3961","7.3662","0.14%"
